filename;width;height;class;xmin;ymin;xmax;ymax
0000f269f.jpg;1600;256;5;612;115;691;255
0000f269f.jpg;1600;256;6;691;115;770;255
0000f269f.jpg;1600;256;2;770;115;849;255
0000f269f.jpg;1600;256;1;849;115;928;255
0000f269f.jpg;1600;256;6;928;115;1007;255
0000f269f.jpg;1600;256;8;1007;115;1086;255
0000f269f.jpg;1600;256;3;1086;115;1165;255
0002cc93b.jpg;1600;256;4;914;156;961;240
0002cc93b.jpg;1600;256;7;961;156;1008;240
0002cc93b.jpg;1600;256;7;1008;156;1055;240
0002cc93b.jpg;1600;256;1;1055;156;1102;240
0002cc93b.jpg;1600;256;0;1102;156;1149;240
0002cc93b.jpg;1600;256;3;1149;156;1196;240
00031f466.jpg;1600;256;9;1243;131;1290;215
00031f466.jpg;1600;256;1;1290;131;1337;215
00031f466.jpg;1600;256;6;1337;131;1384;215
00031f466.jpg;1600;256;8;1384;131;1431;215
000418bfc.jpg;1600;256;2;294;69;337;145
000418bfc.jpg;1600;256;1;337;69;380;145
000418bfc.jpg;1600;256;2;380;69;423;145
000418bfc.jpg;1600;256;6;423;69;466;145
000789191.jpg;1600;256;8;1148;5;1186;73
000789191.jpg;1600;256;3;1186;5;1224;73
000789191.jpg;1600;256;3;1224;5;1262;73
0007a71bf.jpg;1600;256;5;233;82;270;148
0007a71bf.jpg;1600;256;9;270;82;307;148
0007a71bf.jpg;1600;256;8;307;82;344;148
0007a71bf.jpg;1600;256;6;344;82;381;148
0007a71bf.jpg;1600;256;9;381;82;418;148
0007a71bf.jpg;1600;256;8;418;82;455;148
0007a71bf.jpg;1600;256;8;455;82;492;148
0007a71bf.jpg;1600;256;3;492;82;529;148
000a4bcdd.jpg;1600;256;8;483;12;541;115
000a4bcdd.jpg;1600;256;3;541;12;599;115
000a4bcdd.jpg;1600;256;3;599;12;657;115
000f6bf48.jpg;1600;256;4;764;63;831;182
000f6bf48.jpg;1600;256;5;831;63;898;182
000f6bf48.jpg;1600;256;3;898;63;965;182
000f6bf48.jpg;1600;256;8;965;63;1032;182
000f6bf48.jpg;1600;256;2;1032;63;1099;182
001982b08.jpg;1600;256;0;634;100;663;152
001982b08.jpg;1600;256;3;663;100;692;152
001982b08.jpg;1600;256;4;692;100;721;152
001982b08.jpg;1600;256;6;721;100;750;152
001982b08.jpg;1600;256;2;750;100;779;152
001982b08.jpg;1600;256;2;779;100;808;152
001982b08.jpg;1600;256;3;808;100;837;152
001d1b355.jpg;1600;256;3;145;107;215;231
001d1b355.jpg;1600;256;0;215;107;285;231
001d1b355.jpg;1600;256;4;285;107;355;231
001d1b355.jpg;1600;256;3;355;107;425;231
001d1b355.jpg;1600;256;1;425;107;495;231
001d1b355.jpg;1600;256;5;495;107;565;231
001d1b355.jpg;1600;256;1;565;107;635;231
001d3d093.jpg;1600;256;3;821;123;867;205
001d3d093.jpg;1600;256;3;867;123;913;205
001d3d093.jpg;1600;256;8;913;123;959;205
001d3d093.jpg;1600;256;4;959;123;1005;205
002451917.jpg;1600;256;7;336;156;384;241
002451917.jpg;1600;256;5;384;156;432;241
002451917.jpg;1600;256;2;432;156;480;241
002451917.jpg;1600;256;1;480;156;528;241
002451917.jpg;1600;256;4;528;156;576;241
0025bde0c.jpg;1600;256;9;626;98;705;238
0025bde0c.jpg;1600;256;2;705;98;784;238
0025bde0c.jpg;1600;256;1;784;98;863;238
002af848d.jpg;1600;256;2;916;56;965;143
002af848d.jpg;1600;256;4;965;56;1014;143
002af848d.jpg;1600;256;2;1014;56;1063;143
002af848d.jpg;1600;256;8;1063;56;1112;143
002e73b3c.jpg;1600;256;5;206;16;252;98
002e73b3c.jpg;1600;256;0;252;16;298;98
002e73b3c.jpg;1600;256;7;298;16;344;98
002e73b3c.jpg;1600;256;2;344;16;390;98
002e73b3c.jpg;1600;256;1;390;16;436;98
002e73b3c.jpg;1600;256;2;436;16;482;98
0030401a5.jpg;1600;256;1;693;136;724;191
0030401a5.jpg;1600;256;4;724;136;755;191
0030401a5.jpg;1600;256;7;755;136;786;191
003c5da97.jpg;1600;256;7;863;56;905;131
003c5da97.jpg;1600;256;2;905;56;947;131
003c5da97.jpg;1600;256;3;947;56;989;131
003c5da97.jpg;1600;256;6;989;56;1031;131
003c5da97.jpg;1600;256;9;1031;56;1073;131
0042e163f.jpg;1600;256;4;0;50;65;166
0042e163f.jpg;1600;256;7;65;50;130;166
0042e163f.jpg;1600;256;2;130;50;195;166
0042e163f.jpg;1600;256;0;195;50;260;166
0042e163f.jpg;1600;256;2;260;50;325;166
0042e163f.jpg;1600;256;9;325;50;390;166
0046839bd.jpg;1600;256;5;223;7;273;96
0046839bd.jpg;1600;256;3;273;7;323;96
0046839bd.jpg;1600;256;6;323;7;373;96
0046839bd.jpg;1600;256;3;373;7;423;96
0046839bd.jpg;1600;256;9;423;7;473;96
0046839bd.jpg;1600;256;6;473;7;523;96
00513039a.jpg;1600;256;4;852;31;927;164
00513039a.jpg;1600;256;9;927;31;1002;164
00513039a.jpg;1600;256;8;1002;31;1077;164
005d86c25.jpg;1600;256;2;164;154;221;255
005d86c25.jpg;1600;256;8;221;154;278;255
005d86c25.jpg;1600;256;2;278;154;335;255
005d86c25.jpg;1600;256;1;335;154;392;255
005d86c25.jpg;1600;256;4;392;154;449;255
005f19695.jpg;1600;256;4;1194;120;1260;237
005f19695.jpg;1600;256;2;1260;120;1326;237
005f19695.jpg;1600;256;8;1326;120;1392;237
006a4402e.jpg;1600;256;3;426;140;490;254
006a4402e.jpg;1600;256;9;490;140;554;254
006a4402e.jpg;1600;256;2;554;140;618;254
006a4402e.jpg;1600;256;0;618;140;682;254
006a4402e.jpg;1600;256;5;682;140;746;254
006a4402e.jpg;1600;256;9;746;140;810;254
006a4402e.jpg;1600;256;7;810;140;874;254
006a4402e.jpg;1600;256;9;874;140;938;254
006f39c41.jpg;1600;256;5;671;81;710;150
006f39c41.jpg;1600;256;7;710;81;749;150
006f39c41.jpg;1600;256;9;749;81;788;150
006f39c41.jpg;1600;256;1;788;81;827;150
006f39c41.jpg;1600;256;8;827;81;866;150
00762aa3b.jpg;1600;256;7;299;63;355;163
00762aa3b.jpg;1600;256;6;355;63;411;163
00762aa3b.jpg;1600;256;0;411;63;467;163
00762aa3b.jpg;1600;256;3;467;63;523;163
00762aa3b.jpg;1600;256;6;523;63;579;163
00762aa3b.jpg;1600;256;2;579;63;635;163
00762aa3b.jpg;1600;256;4;635;63;691;163
00762aa3b.jpg;1600;256;3;691;63;747;163
007f28bba.jpg;1600;256;4;18;61;69;152
007f28bba.jpg;1600;256;2;69;61;120;152
007f28bba.jpg;1600;256;0;120;61;171;152
007f28bba.jpg;1600;256;5;171;61;222;152
008479d08.jpg;1600;256;5;586;94;632;176
008479d08.jpg;1600;256;8;632;94;678;176
008479d08.jpg;1600;256;0;678;94;724;176
008479d08.jpg;1600;256;2;724;94;770;176
008621629.jpg;1600;256;5;158;1;211;95
008621629.jpg;1600;256;6;211;1;264;95
008621629.jpg;1600;256;3;264;1;317;95
008725cbc.jpg;1600;256;1;310;126;354;204
008725cbc.jpg;1600;256;5;354;126;398;204
008725cbc.jpg;1600;256;6;398;126;442;204
008725cbc.jpg;1600;256;2;442;126;486;204
008725cbc.jpg;1600;256;1;486;126;530;204
008725cbc.jpg;1600;256;1;530;126;574;204
008725cbc.jpg;1600;256;2;574;126;618;204
008725cbc.jpg;1600;256;1;618;126;662;204
0088260da.jpg;1600;256;0;100;113;144;191
0088260da.jpg;1600;256;6;144;113;188;191
0088260da.jpg;1600;256;8;188;113;232;191
0088260da.jpg;1600;256;3;232;113;276;191
0088260da.jpg;1600;256;1;276;113;320;191
0088260da.jpg;1600;256;5;320;113;364;191
008b9acf5.jpg;1600;256;2;191;67;252;175
008b9acf5.jpg;1600;256;1;252;67;313;175
008b9acf5.jpg;1600;256;7;313;67;374;175
008b9acf5.jpg;1600;256;3;374;67;435;175
008b9acf5.jpg;1600;256;0;435;67;496;175
008b9acf5.jpg;1600;256;6;496;67;557;175
008b9acf5.jpg;1600;256;9;557;67;618;175
008b9acf5.jpg;1600;256;3;618;67;679;175
008d0f87b.jpg;1600;256;0;422;177;459;243
008d0f87b.jpg;1600;256;4;459;177;496;243
008d0f87b.jpg;1600;256;1;496;177;533;243
008d0f87b.jpg;1600;256;0;533;177;570;243
